OBJECTID,Infogroup ID,Company/Business Name,Street,City,State,State Name,ZIP Code,ZIP plus 4 extension,NAICS Code,SIC Code,Sales Volume/Assets ($000),Business Status Code,Ultimate Parent Number,Public Company Indicator,Employee Count,Franchise Code,Industry Specific Code,Square Footage Code,Locator Name,Match Status,Match Score,Source,Record type
33,402911451,GILREATH PEST CONTROL,STANDIFER GAP RD,CHATTANOOGA,TN,Tennessee,37421,1322,56171009,734201,248,,000000000,,3,,,1,PointAddress,M,100,INFOGROUP,0
34,402911827,ALL PRO SIDING,,CHATTANOOGA,TN,Tennessee,37421,,23611816,152105,675,,000000000,,2,,,1,Postal,M,100,INFOGROUP,1
35,402911940,JONES TREE SVC,,CHATTANOOGA,TN,Tennessee,37421,,56173022,078301,141,,000000000,,2,,,1,Postal,M,100,INFOGROUP,1
36,402911941,PAUL BUNYAN TREE SVC,,CHATTANOOGA,TN,Tennessee,37421,,56173022,078301,141,,000000000,,2,,,1,Postal,M,100,INFOGROUP,1
37,402938254,MC DONALD'S,OOLTEWAH RINGGOLD RD,OOLTEWAH,TN,Tennessee,37363,9434,72251301,581208,2279,2,001682400,2,45,K,e,3,PointAddress,T,100,INFOGROUP,0
38,403188973,CRYSTAL SHORE ENTERPRISES LLC,,CHATTANOOGA,TN,Tennessee,37421,,45421005,596201,862,,000000000,,5,,,3,Postal,M,100,INFOGROUP,1
39,403988217,M & D POWER CONTRACTORS,HOUSTON LN,OOLTEWAH,TN,Tennessee,37363,8085,23611505,152103,2023,,000000000,,6,,,2,PointAddress,M,100,INFOGROUP,0
40,404812291,ANTIQUE TREASURE HUNT,MAGICAL VW,CHATTANOOGA,TN,Tennessee,37421,2073,45331001,593202,1202,,000000000,,2,,,1,PointAddress,M,100,INFOGROUP,0
41,409332730,DIXIE FENCE CONTRACTORS,,CHATTANOOGA,TN,Tennessee,37421,,23899023,179938,562,,000000000,,3,,,1,Postal,M,100,INFOGROUP,1
42,409332794,A & G PROFESSIONAL SVC,JEANNE LN,CHATTANOOGA,TN,Tennessee,37421,,23712005,162303,1835,,000000000,,8,,,2,Postal,M,100,INFOGROUP,0
43,409332839,BETWEEN XTREMES LLC,,CHATTANOOGA,TN,Tennessee,37421,,23822002,171117,124,,000000000,,1,,,1,Postal,M,100,INFOGROUP,1
44,409332986,TEAMSTERS,FRANKLIN BLDG,CHATTANOOGA,TN,Tennessee,37421,,81393001,863101,0,,000000000,,6,,,3,Postal,M,100,INFOGROUP,0
45,409332994,THOMPSON BROTHERS LANDSCAPING,,CHATTANOOGA,TN,Tennessee,37421,,56173009,078204,211,,000000000,,3,,,1,Postal,M,100,INFOGROUP,1
46,409333164,APEX WILDLIFE CONTROL LLC,,CHATTANOOGA,TN,Tennessee,37421,,56171009,734201,248,,000000000,,3,,,1,Postal,M,100,INFOGROUP,1
47,409333608,WEBB PLUMBING,,CHATTANOOGA,TN,Tennessee,37421,,23822025,171105,370,,000000000,,3,,,1,Postal,M,100,INFOGROUP,1
48,409333962,KILT BUILT POOLS,,CHATTANOOGA,TN,Tennessee,37421,,23622040,179921,375,,000000000,,2,,,1,Postal,M,100,INFOGROUP,1
49,409333987,SIGNAL VOICE & DATA,,CHATTANOOGA,TN,Tennessee,37421,,44314223,599904,710,,000000000,,6,,,3,Postal,M,100,INFOGROUP,1
50,412135542,CRYSTAL SHORE ENTERPRISES,SHADOW PKWY,CHATTANOOGA,TN,Tennessee,37421,5334,45421005,596201,862,,000000000,,5,,,4,PointAddress,M,100,INFOGROUP,0
51,412165468,PAS BOOKKEEPING & TAXES,HURRICANE CREEK RD,CHATTANOOGA,TN,Tennessee,37421,4517,54121903,872102,481,,000000000,,4,,,1,PointAddress,M,100,INFOGROUP,0
52,412179706,WALDREP CONSTRUCTION,TWISTED TWIG LN,APISON,TN,Tennessee,37302,7573,23611512,152144,675,,000000000,,2,,,1,PointAddress,M,100,INFOGROUP,0
53,414452877,ONIN STAFFING-CHATTANOOGA,CHATTANOOGA AVE,CHATTANOOGA,TN,Tennessee,37421,,56131102,736103,118,,000000000,,3,,,3,Postal,M,100,INFOGROUP,0
54,415403143,RESIDENTIAL INSPECTION SVC,E BRAINERD RD,APISON,TN,Tennessee,37302,7631,53139008,653122,199,,000000000,,2,,,1,StreetAddress,M,100,INFOGROUP,0
55,416056037,BALANCED LIFE FAMILY MEDICINE,OOLTEWAH RINGGOLD RD,OOLTEWAH,TN,Tennessee,37363,9831,62149301,801104,1309,,000000000,,6,M,,5,PointAddress,M,100,INFOGROUP,0
56,419858783,HUT 6 SOFTWARE INC,CHAFFIN LN,CHATTANOOGA,TN,Tennessee,37421,1387,51121005,737206,6419,,000000000,,16,,,5,PointAddress,M,100,INFOGROUP,0
57,419965524,HYDRO CHEMICALS LLC,GULF VIEW DR,CHATTANOOGA,TN,Tennessee,37421,,45399819,599919,473,,000000000,,4,,,2,Postal,M,100,INFOGROUP,0
58,420194817,DB CARPENTRY LLC,FROST CREEK DR,OOLTEWAH,TN,Tennessee,37363,9373,23835003,175102,124,,000000000,,1,,,1,PointAddress,M,100,INFOGROUP,0
59,420235908,EPIC CONSULTING LLC,GIBSON POND RD,CHATTANOOGA,TN,Tennessee,37421,5368,54161830,874899,288,,000000000,,3,,,2,PointAddress,M,100,INFOGROUP,0
60,421195417,PAYTON'S,STONEY MOUNTAIN DR,CHATTANOOGA,TN,Tennessee,37421,2095,99999004,999977,0,,000000000,,0,,,1,PointAddress,M,100,INFOGROUP,0
61,421987988,EUROPEAN MARKET,,CHATTANOOGA,TN,Tennessee,37421,,72251117,581208,355,,000000000,,7,,U,2,Postal,M,100,INFOGROUP,1
62,423575080,REYNOLDS SEAL COATING CO,,CHATTANOOGA,TN,Tennessee,37421,,23731010,161101,1377,,000000000,,6,,,2,Postal,M,100,INFOGROUP,1
63,423575248,BENNETT PIANO MOVERS,,CHATTANOOGA,TN,Tennessee,37421,,48421003,421402,242,,000000000,,2,,,2,Postal,M,100,INFOGROUP,1
64,423575270,RAY'S PLUMBING,,CHATTANOOGA,TN,Tennessee,37421,,23822025,171105,370,,000000000,,3,,,1,Postal,M,100,INFOGROUP,1
65,423575288,BEDWELL HANDYMAN SVC,,CHATTANOOGA,TN,Tennessee,37421,,23819009,179942,375,,000000000,,2,,,1,Postal,M,100,INFOGROUP,1
66,423575360,LEE'S KEYS,,CHATTANOOGA,TN,Tennessee,37421,,56162204,769962,86,,000000000,,1,,,1,Postal,M,100,INFOGROUP,1
67,423575366,LANGLEY CO,STONE MIST LN,CHATTANOOGA,TN,Tennessee,37421,5384,23816014,176109,616,,000000000,,5,,,1,PointAddress,M,100,INFOGROUP,0
68,423575404,SIGN REVOLUTION,,CHATTANOOGA,TN,Tennessee,37421,,33995008,399302,729,,000000000,,4,,,2,Postal,M,100,INFOGROUP,1
69,423575536,AARON'S TREE SVC,,CHATTANOOGA,TN,Tennessee,37421,,56173022,078301,141,,000000000,,2,,,1,Postal,M,100,INFOGROUP,1
70,423575574,CHATTANOOGA PINBALL,MAGICAL VW,CHATTANOOGA,TN,Tennessee,37421,2074,44314234,573112,1474,,000000000,,6,,,3,PointAddress,M,100,INFOGROUP,0
71,423722332,REDBOX,E BRAINERD RD,CHATTANOOGA,TN,Tennessee,37421,4803,53228207,784108,0,2,403476608,2,0,R,,,PointAddress,M,100,INFOGROUP,0
72,423867686,WINDSTONE GOLF CLUB,WINDSTONE DR,OOLTEWAH,TN,Tennessee,37363,,71391002,799201,5759,,000000000,,50,X,B,7,StreetAddress,M,100,INFOGROUP,0
73,424171592,KLLM,,CHATTANOOGA,TN,Tennessee,37421,,54161125,874266,310,,000000000,,3,,,3,Postal,M,100,INFOGROUP,1
74,424736082,BOLTON CONSTRUCTION,BOLTON LN,CHATTANOOGA,TN,Tennessee,37421,4826,23611512,152144,675,,000000000,,2,,,1,PointAddress,M,100,INFOGROUP,0
75,425424100,LIFTONE LLC,,CHATTANOOGA,TN,Tennessee,37421,,99999004,999977,0,,000000000,,0,,,1,Postal,M,100,INFOGROUP,1
76,427092931,TECCO AIR DUCT CLEANING SVC,,CHATTANOOGA,TN,Tennessee,37421,,23899092,734903,404,,000000000,,5,,,2,Postal,M,100,INFOGROUP,1
77,433566173,DRUG REHAB & HEROIN METHADONE,,CHATTANOOGA,TN,Tennessee,37421,,81331904,839901,0,,000000000,,19,,,5,Postal,M,100,INFOGROUP,1
78,433566267,HEALTHFORCE CORP,,CHATTANOOGA,TN,Tennessee,37421,,62161001,808201,225,,000000000,,5,,,2,Postal,M,100,INFOGROUP,1
79,433566378,MEAN GREEN JANITORIAL-CLEANING,,CHATTANOOGA,TN,Tennessee,37421,,56172001,734902,485,,000000000,,6,,,2,Postal,M,100,INFOGROUP,1
80,433566390,MCB CUSTOM RENOVATIONS,TENNGA LN,CHATTANOOGA,TN,Tennessee,37421,4563,23611817,152117,1012,,000000000,,3,,,2,PointAddress,M,100,INFOGROUP,0
81,433566725,G & G ROOFING,,CHATTANOOGA,TN,Tennessee,37421,,23816014,176109,616,,000000000,,5,,,2,Postal,M,100,INFOGROUP,1
82,433566749,AMERICAN SIDING & WINDOWS,,CHATTANOOGA,TN,Tennessee,37421,,42333010,503308,5153,,000000000,,5,,,3,Postal,M,100,INFOGROUP,1
83,433566796,A NORTHSIDE TREE SVC,,CHATTANOOGA,TN,Tennessee,37421,,56173022,078301,141,,000000000,,2,,,1,Postal,M,100,INFOGROUP,1
84,433683618,ATM,E BRAINERD RD,CHATTANOOGA,TN,Tennessee,37421,4803,52211001,602103,0,,000000000,,0,ºC,,,PointAddress,M,100,INFOGROUP,3
85,435045526,NEXT DOOR,,CHATTANOOGA,TN,Tennessee,37421,,81341018,869903,0,,000000000,,5,,,3,Postal,M,100,INFOGROUP,1
86,435045531,TENDERHEART CAREGIVERS,,CHATTANOOGA,TN,Tennessee,37421,,62161001,808201,225,,000000000,,5,,,2,Postal,M,100,INFOGROUP,1
87,435045973,CHATTANOOGA BEHAVIORAL HLTHCR,,CHATTANOOGA,TN,Tennessee,37421,,62139936,804922,429,,000000000,,4,,,2,Postal,M,100,INFOGROUP,1
88,435516547,ROOF DOCTOR INC,BOLTON LN,CHATTANOOGA,TN,Tennessee,37421,4826,23839002,176110,370,,000000000,,3,,,1,PointAddress,M,100,INFOGROUP,0
89,436738089,CHATTANOOGA ECONOMIC & CMNTY,,CHATTANOOGA,TN,Tennessee,37421,,92112006,912104,0,,000000000,,9,,,5,Postal,M,100,INFOGROUP,1
90,436738130,CLASSIC ALTERATIONS,POPLAR SPRINGS RD,CHATTANOOGA,TN,Tennessee,37421,,44819001,569932,193,,000000000,,2,,,2,Postal,M,100,INFOGROUP,0
91,436738428,MC BRIDE CLEANING SVC INC,,CHATTANOOGA,TN,Tennessee,37421,,23899072,734922,404,,000000000,,5,,,2,Postal,M,100,INFOGROUP,1
92,436738466,CLEAN SMITHS,,CHATTANOOGA,TN,Tennessee,37421,,56172001,734902,485,,000000000,,6,,,2,Postal,M,100,INFOGROUP,1
93,436738503,TOTAL MEDIA MORTGAGE,,CHATTANOOGA,TN,Tennessee,37421,,52229202,616201,2239,,000000000,,5,,,3,Postal,M,100,INFOGROUP,1
94,436738507,CHOO CHOO MOVERS,,CHATTANOOGA,TN,Tennessee,37421,,48411009,421401,483,,000000000,,4,,,2,Postal,M,100,INFOGROUP,1
95,436738752,S & D SEPTIC & FIELD LINE,,CHATTANOOGA,TN,Tennessee,37421,,23891046,171108,493,,000000000,,4,,,1,Postal,M,100,INFOGROUP,1
96,439392650,NETWORK 7,,CHATTANOOGA,TN,Tennessee,37421,,51211003,781203,809,,000000000,,2,,,2,Postal,M,100,INFOGROUP,1
97,439392733,GENISYS GROUP INC,GROUSE LN,CHATTANOOGA,TN,Tennessee,37421,1362,44314241,573407,1228,,000000000,,5,,,5,PointAddress,M,100,INFOGROUP,0
98,439392740,GEEKS FAST REPAIRS,,CHATTANOOGA,TN,Tennessee,37421,,81121206,737801,412,,000000000,,2,,,1,Postal,M,100,INFOGROUP,1
99,439392833,PRODRUGSCREENING,GANBARREL RD,CHATTANOOGA,TN,Tennessee,37421,,62151103,807108,734,,000000000,,5,,,3,Postal,M,100,INFOGROUP,0
100,439392884,DOOR PRO GARAGE DOORS,,CHATTANOOGA,TN,Tennessee,37421,,44419018,521101,3166,,000000000,,10,,,5,Postal,M,100,INFOGROUP,1
101,439392925,OLD STATE CONSTRUCTION,,CHATTANOOGA,TN,Tennessee,37421,,23611816,152105,675,,000000000,,2,,,1,Postal,M,100,INFOGROUP,1
102,439393113,AMERICAN PLUMBING PRO,,CHATTANOOGA,TN,Tennessee,37421,,23822025,171105,862,,000000000,,7,245,,2,Postal,M,100,INFOGROUP,1
103,440383384,ALLIED MANAGEMENT SOLUTIONS,SWEET PECAN LN,CHATTANOOGA,TN,Tennessee,37421,4724,62199933,809911,958,,000000000,,5,,,3,PointAddress,M,100,INFOGROUP,0
104,444844823,FAULKNER JOE SIGNS,OAK SHADOWS DR,CHATTANOOGA,TN,Tennessee,37421,2034,33995008,399302,183,,000000000,,1,,,1,PointAddress,M,100,INFOGROUP,0
105,444855506,STATEWIDE SIDING SUPPLY,SHADOW POINT CIR,CHATTANOOGA,TN,Tennessee,37421,5374,23817002,176111,739,,000000000,,6,,,1,PointAddress,M,100,INFOGROUP,0
106,460265176,HIGHLAND CEMETERY CO,SHEPARD RD & EMERY DR,CHATTANOOGA,TN,Tennessee,37421,,81222002,655302,714,,000000000,,7,,,2,Postal,M,100,INFOGROUP,0
107,478566417,LARRY'S HEATING & AIR COND INC,PINE RIDGE RD,OOLTEWAH,TN,Tennessee,37363,8060,81131001,762304,349,,000000000,,4,,,1,StreetAddress,M,100,INFOGROUP,0
108,478578941,R & R APPRAISERS,HUNTERS BEND CIR,OOLTEWAH,TN,Tennessee,37363,8008,53132003,653116,199,,000000000,,2,,,1,PointAddress,M,100,INFOGROUP,0
109,505638296,DOCTOR DAVE'S SVC,LONDON LN,APISON,TN,Tennessee,37302,7537,81131027,769967,86,,000000000,,1,,,1,PointAddress,M,100,INFOGROUP,0
110,513240382,PIANO MOVERS PLUS,QUAIL MOUNTAIN DR,CHATTANOOGA,TN,Tennessee,37421,1354,48411009,421401,483,,000000000,,4,,,2,PointAddress,M,100,INFOGROUP,0
111,519116347,WELLMAN'S SEAMLESS RAIN GUTTER,DEXTER LN,OOLTEWAH,TN,Tennessee,37363,,23816004,176103,124,,000000000,,1,,,1,PointAddress,M,100,INFOGROUP,0
112,519116396,INTRGEN ENVIRONMENTAL INC,FORE WINDS HL,OOLTEWAH,TN,Tennessee,37363,9425,54171416,873111,0,,000000000,,10,,,5,PointAddress,M,100,INFOGROUP,0
113,519116487,KAM PROPERTIES,FROST CREEK DR,OOLTEWAH,TN,Tennessee,37363,9373,53121003,653118,298,,000000000,,3,,,1,PointAddress,M,100,INFOGROUP,0
114,519156574,CORNERSTONE CHURCH,E BRAINERD RD,CHATTANOOGA,TN,Tennessee,37421,4803,81311008,866107,0,,000000000,,4,3,,2,PointAddress,M,100,INFOGROUP,0
115,547268375,CIRCLE K,E BRAINERD RD,CHATTANOOGA,TN,Tennessee,37421,4803,44512001,541103,1568,2,450720289,,8,F,,3,PointAddress,M,100,INFOGROUP,0
116,554252163,YOUNG'S PAVING,HUNTERS BEND CIR,OOLTEWAH,TN,Tennessee,37363,8008,23731010,161101,1377,,000000000,,6,,,3,PointAddress,M,100,INFOGROUP,0
117,609347471,LUCY & ETHEL'S CLEANING SVC,,CHATTANOOGA,TN,Tennessee,37421,,23899076,734923,404,,000000000,,5,,,2,Postal,M,100,INFOGROUP,1
118,609348503,TOOLSFORHEALING.COM,HOUSTON LN,OOLTEWAH,TN,Tennessee,37363,8005,62199918,809906,192,,000000000,,1,,,2,StreetAddress,M,100,INFOGROUP,0
119,609349659,HUNT'S TURF FARM,MCDANIEL RD,CHATTANOOGA,TN,Tennessee,37421,,56173019,078203,633,,000000000,,9,,,2,Postal,M,100,INFOGROUP,0
120,609350368,DON GRANT CO,,CHATTANOOGA,TN,Tennessee,37421,,23816014,176109,616,,000000000,,5,,,2,Postal,M,100,INFOGROUP,1
121,609350848,BRANTLEY INSPECTIONS PROPERTY,,CHATTANOOGA,TN,Tennessee,37421,,53139008,653122,199,,000000000,,2,,,2,Postal,M,100,INFOGROUP,1
122,609351317,CREEK BEND STABLES,HOPE DR,CHATTANOOGA,TN,Tennessee,37421,,71399050,799968,297,,000000000,,4,,,1,Postal,M,100,INFOGROUP,0
123,609352901,CLANCY'S LAWNCARE,,CHATTANOOGA,TN,Tennessee,37421,,56173011,078206,352,,000000000,,5,,,2,Postal,M,100,INFOGROUP,1
124,609352984,ELITE DECKS,,CHATTANOOGA,TN,Tennessee,37421,,23611807,152138,1012,,000000000,,3,,,1,Postal,M,100,INFOGROUP,1
125,609353248,DEPEND-ALL-PAINTING,,CHATTANOOGA,TN,Tennessee,37421,,23832003,172101,124,,000000000,,1,,,1,Postal,M,100,INFOGROUP,1
126,609359344,APPLE ESTATE SALES,WINDROSE CIR,CHATTANOOGA,TN,Tennessee,37421,4813,54135002,738981,114,,000000000,,1,,,1,PointAddress,M,100,INFOGROUP,0
127,614766319,SERVICE MAX,E BRAINERD RD,CHATTANOOGA,TN,Tennessee,37421,3404,53121005,653108,397,,000000000,,4,,,2,PointAddress,M,100,INFOGROUP,0
128,614770790,WALTERS CONSTRUCTION,SHADOW CROSSING LN,CHATTANOOGA,TN,Tennessee,37421,5362,23611512,152144,675,,000000000,,2,,,1,PointAddress,M,100,INFOGROUP,0
129,614797348,EASTERN BUSINESS FORMS INC,6100,CHATTANOOGA,TN,Tennessee,37421,,42412005,511207,762,2,620463406,,1,,,3,Postal,M,100,INFOGROUP,0
130,648629632,ORION INTERIORS,,CHATTANOOGA,TN,Tennessee,37421,,23831001,174202,2832,,000000000,,23,,,4,Postal,M,100,INFOGROUP,1
131,648630150,WOODRUM LANDSCAPE & DESIGN,LEGGETT RD,CHATTANOOGA,TN,Tennessee,37421,,54132004,078103,71,,000000000,,1,,,1,Postal,M,100,INFOGROUP,0
132,648630267,COLOR SCAPES,,CHATTANOOGA,TN,Tennessee,37421,,56173009,078204,211,,000000000,,3,,,1,Postal,M,100,INFOGROUP,1
133,648630317,ALLIED HEATING & AIR & PLBG,,CHATTANOOGA,TN,Tennessee,37421,,23822025,171105,370,,000000000,,3,,,1,Postal,M,100,INFOGROUP,1
134,648630416,CLEAN IMPRESSIONS,,CHATTANOOGA,TN,Tennessee,37421,,23899072,734922,404,,000000000,,5,,,2,Postal,M,100,INFOGROUP,1
135,648631844,RAT PACK CLASSIC LIMOUSINE,,CHATTANOOGA,TN,Tennessee,37421,,48532002,411903,242,,000000000,,3,,,2,Postal,M,100,INFOGROUP,1
136,648634061,WREN PAINTING,,CHATTANOOGA,TN,Tennessee,37421,,23832003,172101,124,,000000000,,1,,,1,Postal,M,100,INFOGROUP,1
137,648635670,8 POINT TRUCKING,,CHATTANOOGA,TN,Tennessee,37421,,42332036,503211,960,,000000000,,1,,,2,Postal,M,100,INFOGROUP,1
138,648635753,SOUTH-TEL COMMUNICATIONS,,CHATTANOOGA,TN,Tennessee,37421,,23821007,173101,616,,000000000,,5,,,2,Postal,M,100,INFOGROUP,1
139,648636678,PUREGUARD PEST CONTROL,,CHATTANOOGA,TN,Tennessee,37421,,56171009,734201,248,,000000000,,3,,,1,Postal,M,100,INFOGROUP,1
140,648639391,PIKE SERVICES,,CHATTANOOGA,TN,Tennessee,37421,,23611816,152105,675,,000000000,,2,,,1,Postal,M,100,INFOGROUP,1
141,648645406,OUTSOURCE STAFFING LLC,,CHATTANOOGA,TN,Tennessee,37421,,54161207,874203,516,,000000000,,5,,,4,Postal,M,100,INFOGROUP,1
142,648645687,BARRETT CO,,CHATTANOOGA,TN,Tennessee,37421,,23816014,176109,616,,000000000,,5,,,2,Postal,M,100,INFOGROUP,1
143,657147807,HARBOR EVANGELISM INTL INC,TREW LN,APISON,TN,Tennessee,37302,7590,81311021,866110,0,,000000000,,2,,,2,PointAddress,M,100,INFOGROUP,0
144,660816133,AROUND THE HOUSE INC,WINDSTONE DR,OOLTEWAH,TN,Tennessee,37363,9360,53121005,653108,100,,000000000,,1,,,2,PointAddress,M,100,INFOGROUP,0
145,669178782,SNAP FITNESS,OOLTEWAH RINGGOLD RD,OOLTEWAH,TN,Tennessee,37363,9831,71394011,799101,61,2,381111095,,1,S,,3,PointAddress,M,100,INFOGROUP,0
146,669255572,ROSSELLI'S PIZZERIA,OOLTEWAH RINGGOLD RD,OOLTEWAH,TN,Tennessee,37363,9830,72251115,581222,608,,000000000,,12,,,4,PointAddress,M,100,INFOGROUP,0
147,672356524,ONSITE SERVICES MECHCL CONTRS,GREEN POND RD,CHATTANOOGA,TN,Tennessee,37421,,23821038,171114,247,,000000000,,2,,,1,Postal,M,100,INFOGROUP,0
148,678032863,BEARDEN HOMES,,CHATTANOOGA,TN,Tennessee,37421,,23611816,152105,675,,000000000,,2,,,1,Postal,M,100,INFOGROUP,1
149,678034083,AVERY PATTEN FLORAL STUDIO WST,14TH ST,CHATTANOOGA,TN,Tennessee,37421,,45311001,599201,115,,000000000,,2,,,1,Postal,M,100,INFOGROUP,0
150,678034711,CAMPBELL INSULATION,,CHATTANOOGA,TN,Tennessee,37421,,23831006,174205,1354,,000000000,,11,,,3,Postal,M,100,INFOGROUP,1
